,filename,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,11d.sql,15.89509630203247,78.6664004996419,9.87,1423.167
1,26c.sql,42.78861999511719,365.05147152394056,74.17,4595.91
2,33a.sql,10.482202053070068,27.79950200021267,97.71,710.851
3,6f.sql,9.878946304321289,44.59581719338894,2.458,5545.83
4,1a.sql,12.444900512695312,46.80289626866579,1.07,573.182
5,17c.sql,19.063933849334717,114.4946363195777,7.678,5248.503
6,8b.sql,16.092146396636963,89.18134379386902,6.219,2407.526
7,2b.sql,28.919368267059326,206.4919267743826,1.238,912.514
8,30c.sql,37.784465312957764,359.62402925640345,78.764,5590.199
9,9d.sql,6.235403060913086,32.5560405254364,5.715,5009.915
10,32a.sql,7.334918975830078,10.725429141356699,1.476,390.955
11,12a.sql,21.630274772644043,114.46437432616949,10.371,1645.715
12,2d.sql,13.68851613998413,86.58843591064215,2.393,978.138
13,31a.sql,14.988688945770264,108.76191641390324,60.174,4799.168
14,17f.sql,15.594069957733154,113.42147424072027,7.32,6697.549
15,4b.sql,4.998581647872925,8.857924081385136,2.439,461.308
16,33c.sql,39.00684452056885,198.01266919076443,98.609,773.424
17,22b.sql,12.24836540222168,58.172289468348026,37.851,2424.164
18,33b.sql,4.792046546936035,7.504684709012508,94.704,1075.584
19,17d.sql,11.506629467010498,60.252971433103085,7.283,5335.137
20,28c.sql,28.39774513244629,265.46663350239396,90.242,4344.873
21,20c.sql,27.526978969573975,261.99433447420597,18.573,6225.183
22,6a.sql,3.62337327003479,5.850055269896984,1.088,2887.792
23,27c.sql,63.75755953788757,379.96952878311276,78.637,110639.168
24,11b.sql,20.358327627182007,67.1849081069231,11.2,11849.524
25,9b.sql,20.92318606376648,87.05176504701376,6.417,2251.423
26,29b.sql,9.765336513519287,23.987390123307705,115.975,5986.434
27,19d.sql,9.443124294281006,79.36753344535828,19.158,11325.507
28,7c.sql,10.26701021194458,95.07741294801235,5.457,4570.698
29,19c.sql,22.392157077789307,160.33884408324957,30.732,4930.277
30,18a.sql,7.118039608001709,15.3139180354774,7.182,3594.687
31,3c.sql,2.6995339393615723,5.185615137219429,1.02,2428.528
32,8c.sql,1.8961615562438965,1.979931354522705,2.849,12156.788
33,14c.sql,26.068034648895264,228.83553514629602,10.271,3871.379
34,30b.sql,14.650573968887329,52.99268990010023,73.414,5160.21
35,13d.sql,63.53950500488281,756.3664646334946,7.224,11072.106
36,1b.sql,14.876627922058105,78.85813976079226,1.196,511.277
37,19a.sql,23.852540016174316,204.56763911247253,25.297,4852.058
38,7a.sql,13.446328163146973,67.76814852654934,5.824,4239.52
39,18c.sql,20.733354568481445,137.92864974960685,2.923,4280.982
40,24a.sql,51.593491077423096,452.5782376304269,75.725,9065.396
41,16c.sql,5.891972064971924,28.76379656791687,13.451,4542.072
42,16a.sql,1.8110847473144531,1.7568515539169312,11.85,3511.487
43,23b.sql,26.538548469543457,134.9817105308175,38.965,59384.798
44,20a.sql,10.494471073150635,42.354891076684,19.926,6309.566
45,13c.sql,30.283859491348267,181.56976224854589,7.239,5339.206
46,25a.sql,15.28650426864624,109.108966127038,12.48,4496.192
47,5a.sql,11.863300800323486,112.3809112405936,1.447,201.504
48,9c.sql,5.388727188110352,23.63293719291687,9.932,3722.939
49,5c.sql,2.428767204284668,1.487740233540535,2.478,2106.537
50,18b.sql,6.597847938537598,21.18742474541068,7.301,3489.824
51,19b.sql,20.75433921813965,135.35401543229818,24.462,3799.066
52,31b.sql,13.1418776512146,61.0694267898798,55.514,4610.94
53,22c.sql,32.208083152770996,352.60535249859095,36.132,6704.672
54,12b.sql,9.504849910736084,22.974217679351568,4.64,1586.795
55,5b.sql,13.571716785430908,90.41375453397632,1.204,1216.066
56,21c.sql,13.711290836334229,91.97896361723542,11.827,2614.151
57,17a.sql,15.524823188781738,113.80082665383816,3.226,7511.089
58,16d.sql,5.955696105957031,29.44962763786316,13.337,4629.149
59,28b.sql,41.72321176528931,257.74339685589075,94.892,2263.375
60,6e.sql,2.3447093963623047,3.369175650179386,1.16,2862.913
61,26a.sql,37.34913969039917,278.261295132339,77.312,3680.498
62,22d.sql,39.403228759765625,384.50592671334743,37.168,4816.724
63,25b.sql,4.12609338760376,5.936433091759682,15.322,3891.993
64,15a.sql,3.2405104637145996,7.0362487100064754,22.439,2685.331
65,10c.sql,22.974199771881104,250.5953603668604,2.647,3974.793
66,20b.sql,9.776631355285645,39.66714932024479,17.982,4206.77
67,11c.sql,35.352970123291016,247.39113003760576,9.366,683.203
68,6b.sql,12.99892282485962,60.471891693770885,1.158,3042.921
69,3a.sql,1.1992335319519043,0.6841899268329144,0.927,2007.527
70,21a.sql,22.063701152801514,162.61187563091516,12.147,2847.825
71,22a.sql,26.067729473114014,233.9292202964425,34.663,2978.094
72,25c.sql,35.81196880340576,318.96260652691126,10.586,6355.617
73,27a.sql,23.26783514022827,133.71894942596555,82.434,1982.408
74,10b.sql,22.340638160705566,227.228006044096,3.062,2314.188
75,28a.sql,27.948756217956543,269.24429140239954,87.782,4230.371
76,6d.sql,12.306697845458984,50.6984870955348,1.065,4600.467
77,9a.sql,27.188944816589355,146.93325193971395,8.768,3076.803
78,29a.sql,31.392534255981445,244.03571186959743,125.944,5027.314
79,13b.sql,37.2730655670166,254.20232965424657,10.294,5665.518
80,10a.sql,21.907556295394897,93.97519090026617,2.459,2652.99
81,29c.sql,30.5624418258667,308.42758909240365,120.739,5238.876
82,1c.sql,10.652688026428223,32.35356812924147,1.928,517.264
83,7b.sql,7.5983710289001465,22.686946734786034,10.535,2772.543
84,2a.sql,20.760497570037842,136.53257348388433,2.398,937.368
85,14b.sql,4.1467125415802,15.21123418956995,10.893,2750.751
86,27b.sql,20.285019397735596,101.71735297515988,73.157,1992.353
87,23a.sql,27.704299926757812,150.82630087435246,39.191,59830.891
88,8a.sql,18.30398464202881,102.6431747302413,3.321,2497.794
89,31c.sql,30.132187366485596,226.91301164776087,50.975,5636.739
90,26b.sql,31.243313789367676,273.6943970695138,77.55,5382.099
91,4a.sql,22.633856296539307,129.6580637358129,1.3,869.442
92,21b.sql,11.912091255187988,51.283307649195194,13.369,2020.84
93,12c.sql,29.099963665008545,217.32290246337652,9.04,2086.343
94,11a.sql,17.79592514038086,107.423145391047,5.861,825.732
95,2c.sql,6.699751853942871,41.60117207467556,1.272,875.386
96,24b.sql,15.982276916503906,86.5665641874075,82.964,5788.532
97,15c.sql,3.2326154708862305,6.995069053024054,21.23,1961.49
98,14a.sql,21.984366416931152,168.59408769756556,4.384,3390.306
99,15b.sql,2.7397990226745605,2.561629071831703,17.742,1412.978
100,13a.sql,54.9917516708374,548.2841434665024,7.038,5772.637
101,6c.sql,6.357740640640259,16.541947416961193,2.44,2834.234
102,8d.sql,1.2303996086120605,0.6208354234695435,2.856,4354.633
103,17b.sql,28.978176593780518,269.67554833739996,2.919,6773.796
104,32b.sql,31.00688076019287,186.4932091385126,1.752,384.111
105,30a.sql,27.847557544708252,191.73715191334486,81.981,5238.271
106,4c.sql,17.946218013763428,105.74835673347116,1.112,839.466
107,17e.sql,15.415719032287598,112.15558968484402,3.039,7700.319
108,1d.sql,15.502333879470825,83.17344260960817,1.233,538.083
109,15d.sql,1.3627715110778809,0.7531948946416378,20.383,2088.46
110,16b.sql,7.363297462463379,46.670008420944214,5.938,8880.63
111,3b.sql,0.6138834953308105,0.15281606698408723,0.851,1160.991
112,23c.sql,28.267534255981445,158.6598694473505,38.446,89920.772
